gender,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,TechSupport,PaymentMethod,Churn
Male,1,62,115.71,7197.76,Two year,Fiber optic,Yes,Mailed check,No
Male,0,21,62.71,1405.01,Two year,Fiber optic,No,Bank transfer,No
Male,1,10,67.51,491.31,Month-to-month,DSL,No,Electronic check,Yes
Female,0,57,109.8,6388.07,Month-to-month,Fiber optic,No,Bank transfer,No
Male,0,56,72.5,3734.42,Month-to-month,Fiber optic,No,Electronic check,Yes
Male,0,3,90.73,5.04,Month-to-month,DSL,Yes,Credit card,No
Female,0,6,45.22,698.45,One year,Fiber optic,No,Mailed check,Yes
Male,0,60,64.67,3778.18,One year,Fiber optic,Yes,Credit card,No
Male,0,53,32.34,1859.92,Two year,DSL,No,Credit card,No
Male,0,67,40.6,3059.86,One year,Fiber optic,No,Electronic check,No
Male,0,0,20.09,-462.89,Month-to-month,DSL,No,Electronic check,No
Male,0,54,23.93,1517.47,Month-to-month,Fiber optic,No,Electronic check,No
Female,1,2,117.73,365.25,Month-to-month,Fiber optic,Yes,Electronic check,No
Female,1,37,44.24,1964.96,Month-to-month,Fiber optic,No,Credit card,Yes
Female,1,0,86.33,-236.3,Month-to-month,No,No,Electronic check,Yes
Male,0,37,103.91,4134.92,Month-to-month,DSL,Yes,Electronic check,Yes
Male,0,28,75.07,1954.08,Month-to-month,Fiber optic,Yes,Credit card,No
Male,0,4,35.31,352.2,Month-to-month,Fiber optic,No,Mailed check,Yes
Female,0,20,92.81,1849.0,One year,Fiber optic,No,Mailed check,Yes
Male,0,70,80.03,5756.25,Month-to-month,Fiber optic,No,Bank transfer,No
Male,0,66,93.13,6156.35,Month-to-month,DSL,No,Credit card,Yes
Female,0,46,96.97,4092.74,Month-to-month,DSL,Yes,Electronic check,Yes
Male,0,34,117.54,3372.25,Two year,DSL,No,Bank transfer,No
Female,0,67,77.36,5225.1,Month-to-month,No,No,Mailed check,No
Female,0,68,54.16,3630.13,Month-to-month,DSL,Yes,Mailed check,No
Female,0,0,84.85,79.64,One year,Fiber optic,No,Credit card,No
Male,1,67,26.84,1747.85,Month-to-month,Fiber optic,Yes,Electronic check,No
Male,0,11,109.74,1610.76,Two year,DSL,Yes,Electronic check,No
Male,0,59,31.94,1930.57,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
Male,0,26,52.78,1282.89,Month-to-month,Fiber optic,No,Mailed check,Yes
Male,0,55,101.57,5653.82,Month-to-month,Fiber optic,No,Bank transfer,No
Male,0,22,79.73,1668.33,One year,DSL,No,Bank transfer,No
Male,0,24,59.36,1443.23,Month-to-month,DSL,No,Bank transfer,Yes
Female,0,20,67.34,1103.3,Month-to-month,DSL,No,Electronic check,Yes
Male,0,60,105.45,6325.28,Month-to-month,DSL,No,Mailed check,No
Female,0,62,54.0,3252.43,Month-to-month,Fiber optic,No,Bank transfer,No
Male,0,51,106.96,5230.41,Month-to-month,Fiber optic,No,Mailed check,No
Male,1,24,28.81,1086.59,One year,DSL,No,Mailed check,No
Male,0,54,97.68,5057.97,One year,Fiber optic,Yes,Bank transfer,No
Female,0,45,104.75,4715.14,Month-to-month,Fiber optic,No,Bank transfer,No
Female,1,31,38.18,1023.02,Month-to-month,DSL,No,Credit card,No
Female,0,54,63.03,3463.03,One year,DSL,No,Electronic check,No
Female,0,4,36.55,-108.68,Month-to-month,Fiber optic,Yes,Mailed check,No
Male,0,35,90.66,3341.17,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
Female,0,48,73.53,3936.67,Month-to-month,Fiber optic,No,Bank transfer,Yes
Male,1,57,83.53,4593.3,One year,DSL,Yes,Mailed check,No
Male,0,38,39.65,1750.09,Two year,DSL,Yes,Bank transfer,No
Female,1,60,41.17,2393.82,One year,DSL,No,Credit card,No
Female,0,8,24.15,494.36,Month-to-month,Fiber optic,No,Mailed check,Yes
Female,0,5,52.21,698.75,Month-to-month,Fiber optic,No,Bank transfer,No
Female,0,34,75.97,2536.24,Two year,DSL,No,Mailed check,No
Female,0,38,105.79,3715.97,Month-to-month,Fiber optic,Yes,Bank transfer,No
Female,0,21,86.69,2010.11,Two year,Fiber optic,No,Bank transfer,Yes
Female,1,40,63.54,2586.48,Two year,Fiber optic,Yes,Electronic check,No
Female,0,4,115.31,561.6,Month-to-month,No,No,Mailed check,No
Male,1,41,91.92,3700.75,Two year,DSL,No,Electronic check,No
Female,0,66,113.02,7282.42,Month-to-month,No,No,Bank transfer,Yes
Female,1,29,72.76,2342.11,One year,DSL,No,Mailed check,Yes
Male,0,56,45.89,2633.8,Month-to-month,DSL,No,Mailed check,Yes
Female,0,28,25.28,419.13,Month-to-month,Fiber optic,Yes,Credit card,No
Male,1,36,92.61,3471.34,One year,No,No,Credit card,No
Male,0,12,32.13,482.79,One year,Fiber optic,No,Bank transfer,No
Female,0,31,50.28,1493.62,Month-to-month,Fiber optic,No,Bank transfer,No
Male,0,45,73.25,3620.21,Month-to-month,Fiber optic,No,Bank transfer,No
Male,0,22,76.44,1558.05,Month-to-month,Fiber optic,No,Bank transfer,Yes
Male,1,44,80.06,3488.84,Month-to-month,DSL,No,Credit card,No
Male,0,16,36.63,739.81,Month-to-month,Fiber optic,Yes,Mailed check,No
Female,0,65,57.97,3783.4,Month-to-month,Fiber optic,No,Electronic check,No
Male,0,5,81.72,131.72,Month-to-month,Fiber optic,Yes,Mailed check,No
Female,0,17,116.98,2025.42,Month-to-month,Fiber optic,No,Mailed check,No
Male,0,21,92.76,1865.08,Month-to-month,Fiber optic,No,Credit card,No
Male,0,32,112.26,3763.72,Month-to-month,No,No,Mailed check,Yes
Male,0,29,96.22,2820.62,Month-to-month,Fiber optic,No,Mailed check,No
Male,0,31,79.17,2473.17,Two year,No,Yes,Bank transfer,No
Female,0,41,39.2,1397.55,Month-to-month,DSL,No,Electronic check,Yes
Female,0,9,86.67,734.02,Two year,Fiber optic,No,Mailed check,No
Male,0,35,82.34,3075.92,One year,Fiber optic,No,Mailed check,Yes
Male,0,33,80.25,2492.94,One year,Fiber optic,Yes,Electronic check,No
Female,0,27,68.98,1855.95,One year,Fiber optic,No,Bank transfer,No
Male,0,10,72.87,541.41,One year,Fiber optic,No,Credit card,Yes
Male,0,38,53.44,1793.95,Month-to-month,Fiber optic,Yes,Credit card,No
Male,0,46,71.93,3291.81,Month-to-month,Fiber optic,No,Mailed check,No
Female,0,18,39.76,750.44,One year,DSL,Yes,Bank transfer,No
Female,0,14,100.52,1806.05,Month-to-month,Fiber optic,No,Credit card,No
Female,0,27,38.58,950.57,One year,Fiber optic,Yes,Credit card,No
Male,0,23,28.5,645.47,Month-to-month,DSL,No,Credit card,No
Male,0,71,63.62,4267.01,One year,Fiber optic,No,Credit card,No
Female,0,8,85.83,809.09,Month-to-month,Fiber optic,No,Credit card,Yes
Female,1,46,63.77,3013.04,Month-to-month,Fiber optic,No,Mailed check,No
Female,0,32,47.68,1823.44,Month-to-month,DSL,No,Credit card,No
Female,0,61,75.82,4847.34,One year,DSL,Yes,Mailed check,No
Male,0,18,54.7,1054.88,Two year,Fiber optic,No,Electronic check,No
Female,0,66,113.29,7383.13,Month-to-month,DSL,No,Electronic check,No
Male,0,39,112.26,4419.07,One year,Fiber optic,No,Bank transfer,No
Female,1,46,70.24,3208.84,Month-to-month,DSL,Yes,Mailed check,No
Male,0,64,52.79,3569.24,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
Female,0,28,93.71,2789.13,Month-to-month,DSL,No,Electronic check,No
Female,0,49,23.67,1100.55,Month-to-month,DSL,No,Electronic check,No
Female,0,12,67.48,517.36,Month-to-month,Fiber optic,No,Electronic check,Yes
Female,0,0,53.63,266.68,Month-to-month,DSL,No,Electronic check,No
Male,0,33,112.05,3814.02,One year,Fiber optic,No,Credit card,No
Female,0,47,21.2,932.5,One year,No,No,Electronic check,No
Male,0,47,75.28,3646.73,Month-to-month,Fiber optic,No,Credit card,Yes
Male,0,48,94.07,4530.33,Month-to-month,Fiber optic,No,Credit card,No
Male,0,63,68.5,4579.22,Month-to-month,DSL,Yes,Bank transfer,No
Male,0,60,28.54,1326.44,Month-to-month,DSL,Yes,Credit card,No
Female,0,28,117.25,3203.56,Month-to-month,Fiber optic,Yes,Bank transfer,No
Male,0,38,71.8,3048.21,Month-to-month,Fiber optic,No,Credit card,No
Male,0,25,81.42,2148.14,Two year,Fiber optic,Yes,Credit card,No
Male,0,16,43.66,1053.08,One year,Fiber optic,Yes,Electronic check,No
Female,0,70,68.35,4540.14,Month-to-month,Fiber optic,No,Mailed check,Yes
Female,1,12,62.91,969.36,Month-to-month,DSL,Yes,Credit card,No
Female,0,68,27.49,2071.76,Month-to-month,Fiber optic,Yes,Mailed check,Yes
Female,0,25,30.62,429.15,One year,Fiber optic,Yes,Mailed check,No
Male,0,48,103.75,4920.9,Month-to-month,Fiber optic,Yes,Mailed check,No
Male,0,66,43.98,2881.37,Month-to-month,Fiber optic,No,Credit card,No
Female,0,6,39.5,-86.91,One year,DSL,No,Mailed check,No
Male,0,57,70.49,3963.01,Month-to-month,DSL,No,Credit card,No
Male,1,48,96.87,4824.4,Month-to-month,Fiber optic,No,Electronic check,No
Male,0,52,26.19,1283.7,Month-to-month,Fiber optic,No,Credit card,Yes
Female,0,64,77.68,5019.95,Month-to-month,Fiber optic,No,Bank transfer,Yes
Female,0,61,31.92,1996.99,Month-to-month,DSL,Yes,Electronic check,No
Male,1,16,23.65,375.97,Month-to-month,DSL,Yes,Mailed check,No
Female,0,42,25.27,920.3,Month-to-month,Fiber optic,No,Mailed check,No
Female,1,24,103.42,2613.84,Month-to-month,DSL,Yes,Bank transfer,No
Female,0,2,31.8,-253.81,One year,Fiber optic,Yes,Electronic check,No
Female,1,28,24.52,688.28,Month-to-month,No,No,Bank transfer,No
Female,0,31,63.79,2254.59,Month-to-month,Fiber optic,No,Mailed check,No
Male,1,25,104.4,2520.53,One year,DSL,Yes,Credit card,No
Female,0,15,46.24,548.14,One year,Fiber optic,Yes,Mailed check,No
Male,1,24,62.17,1637.18,One year,DSL,No,Bank transfer,No
Male,0,53,23.99,1304.16,Month-to-month,DSL,No,Credit card,No
Female,0,27,64.91,1901.66,Month-to-month,DSL,Yes,Credit card,Yes
Male,0,55,77.76,4284.5,One year,DSL,No,Mailed check,No
Male,0,64,77.09,4456.1,One year,No,No,Credit card,No
Male,0,40,53.24,2365.58,Month-to-month,DSL,No,Electronic check,No
Female,0,50,51.55,2991.51,Two year,DSL,No,Mailed check,No
Female,0,70,30.66,2403.01,Month-to-month,No,Yes,Mailed check,Yes
Male,0,28,56.68,879.27,Two year,DSL,No,Electronic check,No
Female,1,18,29.95,629.32,Two year,Fiber optic,No,Mailed check,No
Female,0,65,96.66,6189.55,One year,DSL,Yes,Bank transfer,No
Female,1,40,116.63,4448.35,Two year,DSL,No,Bank transfer,No
Female,0,44,117.01,5172.99,One year,No,Yes,Mailed check,No
Male,0,14,106.51,1461.35,Month-to-month,DSL,Yes,Electronic check,No
Male,0,2,80.08,261.89,Month-to-month,Fiber optic,No,Credit card,Yes
Female,0,10,90.09,912.22,Month-to-month,DSL,Yes,Electronic check,No
Female,0,52,48.52,2298.88,Month-to-month,DSL,No,Bank transfer,No
Male,0,45,83.08,3623.28,One year,DSL,No,Mailed check,No
Male,0,29,65.56,1753.65,Month-to-month,DSL,No,Electronic check,No
Female,0,56,68.2,3475.9,Month-to-month,DSL,No,Credit card,No
Male,1,17,95.78,1353.93,Month-to-month,Fiber optic,No,Credit card,No
Female,1,50,48.19,2367.29,Two year,Fiber optic,Yes,Credit card,No
Female,0,47,51.8,2719.35,Month-to-month,DSL,No,Credit card,No
Male,0,65,112.46,7202.79,Month-to-month,Fiber optic,No,Electronic check,Yes
Male,0,7,25.62,27.85,Month-to-month,No,Yes,Credit card,Yes
Female,0,21,68.56,1203.5,One year,No,Yes,Bank transfer,No
Female,0,5,111.28,562.51,Month-to-month,Fiber optic,Yes,Credit card,No
Male,0,56,81.04,4774.09,One year,Fiber optic,No,Bank transfer,Yes
Female,0,35,74.64,3012.94,Month-to-month,DSL,No,Electronic check,Yes
Male,1,56,44.97,2575.4,Month-to-month,DSL,No,Bank transfer,No
Female,0,48,54.33,2635.84,Two year,Fiber optic,No,Electronic check,No
Male,0,44,105.2,4520.11,Month-to-month,Fiber optic,No,Credit card,Yes
Male,0,65,75.92,4859.49,Month-to-month,Fiber optic,No,Mailed check,Yes
Male,0,44,71.47,3270.52,Month-to-month,Fiber optic,No,Bank transfer,No
Female,0,19,29.96,506.26,Month-to-month,No,No,Bank transfer,No
Female,1,63,21.6,1328.34,Month-to-month,Fiber optic,No,Mailed check,Yes
Male,0,66,116.37,7675.35,Month-to-month,Fiber optic,No,Electronic check,No
Female,1,2,57.7,-2.77,Month-to-month,Fiber optic,No,Electronic check,Yes
Male,0,53,80.32,4241.96,Month-to-month,DSL,No,Credit card,No
Male,0,63,27.97,1358.23,One year,DSL,No,Bank transfer,No
Female,0,39,88.31,3553.86,One year,DSL,No,Electronic check,No
Female,0,58,113.26,7039.43,Month-to-month,Fiber optic,No,Credit card,Yes
Male,1,54,77.57,4078.37,Month-to-month,DSL,No,Electronic check,Yes
Female,1,61,32.61,2063.98,Month-to-month,Fiber optic,No,Mailed check,Yes
Female,0,3,78.17,404.83,Month-to-month,DSL,No,Mailed check,Yes
Male,0,59,96.63,5957.21,Month-to-month,Fiber optic,Yes,Mailed check,Yes
Male,0,29,60.64,1705.7,Month-to-month,DSL,Yes,Credit card,No
Female,1,1,107.98,-252.68,Month-to-month,DSL,No,Bank transfer,No
Male,0,61,84.87,5230.52,Month-to-month,Fiber optic,No,Mailed check,No
Male,0,48,109.92,5301.89,Month-to-month,Fiber optic,No,Mailed check,No
Female,0,8,82.35,589.67,Two year,No,No,Electronic check,No
Male,0,30,33.13,967.2,Month-to-month,No,No,Mailed check,Yes
Male,0,60,50.97,3086.94,One year,DSL,Yes,Bank transfer,No
